,weapon,date,usage,usage percentage
0,MP5,2022-11-14,1.5531093344885416,
1,Kalashnikov,2022-11-14,1.2418813265587458,
2,Spas12,2022-11-14,0.9812661905878224,
3,Deagles,2022-11-14,0.8171468000690012,
4,SteyrAUG,2022-11-14,0.6071102363796862,
5,Rheinmetall,2022-11-14,0.3754146707182761,
6,Minigun,2022-11-14,0.2095561696368148,
7,Dragunov,2022-11-14,0.18476616761845963,
8,M79,2022-11-14,0.023297491039426525,
9,Barrett,2022-11-14,0.0032258064516129032,
10,RocketLauncher,2022-11-14,0.0032258064516129032,
11,Kalashnikov,2022-11-15,1.5682371897002902,
12,Deagles,2022-11-15,0.929110746709431,
13,MP5,2022-11-15,0.7949231946169623,
14,Spas12,2022-11-15,0.6504455649020867,
15,SteyrAUG,2022-11-15,0.5672576292100285,
16,Rheinmetall,2022-11-15,0.4735202443755075,
17,M79,2022-11-15,0.1635122053872054,
18,Minigun,2022-11-15,0.10941465089491406,
19,Dragunov,2022-11-15,0.1,
20,Barrett,2022-11-15,0.05913412975912976,
21,RocketLauncher,2022-11-15,0.03444444444444444,
22,MP5,2022-11-16,1.5632218102198503,
23,Deagles,2022-11-16,0.9327768774100296,
24,Kalashnikov,2022-11-16,0.8537176569345686,
25,Spas12,2022-11-16,0.5881615485963312,
26,SteyrAUG,2022-11-16,0.5518827145889588,
27,Rheinmetall,2022-11-16,0.47588530883367836,
28,Minigun,2022-11-16,0.2626325063825064,
29,Barrett,2022-11-16,0.21889537545787544,
30,Dragunov,2022-11-16,0.20143731268731266,
31,RocketLauncher,2022-11-16,0.0013888888888888887,
32,M79,2022-11-16,0.0,
33,Kalashnikov,2022-11-17,0.987985150182382,
34,MP5,2022-11-17,0.952259003123659,
35,Spas12,2022-11-17,0.9155437291466703,
36,Deagles,2022-11-17,0.7721159943478283,
37,SteyrAUG,2022-11-17,0.697030376518229,
38,Barrett,2022-11-17,0.6802101985384857,
39,Rheinmetall,2022-11-17,0.5769207460167668,
40,M79,2022-11-17,0.1781917837064896,
41,Minigun,2022-11-17,0.11882798573975044,
42,RocketLauncher,2022-11-17,0.04411764705882353,
43,Dragunov,2022-11-17,0.00326797385620915,
44,Kalashnikov,2022-11-18,1.3531218044557087,
45,MP5,2022-11-18,1.0961737031165923,
46,Spas12,2022-11-18,0.700601526133441,
47,Barrett,2022-11-18,0.6889747958896895,
48,Rheinmetall,2022-11-18,0.6811468082744678,
49,M79,2022-11-18,0.5046912307550605,
50,Deagles,2022-11-18,0.4924464974675765,
51,SteyrAUG,2022-11-18,0.1834354180098861,
52,Minigun,2022-11-18,0.1560168554849406,
53,Dragunov,2022-11-18,0.033139909735654415,
54,RocketLauncher,2022-11-18,0.0038684719535783366,
55,Kalashnikov,2022-11-19,1.4941664544605722,
56,SteyrAUG,2022-11-19,1.1749865738836327,
57,Barrett,2022-11-19,0.9582478267599375,
58,Rheinmetall,2022-11-19,0.7865925452863168,
59,Spas12,2022-11-19,0.7494376538494186,
60,MP5,2022-11-19,0.3723744800950683,
61,M79,2022-11-19,0.13906395891690007,
62,Dragunov,2022-11-19,0.1099216959511077,
63,Minigun,2022-11-19,0.038738222561751974,
64,Deagles,2022-11-19,0.029411764705882353,
65,RocketLauncher,2022-11-19,0.0,
66,MP5,2022-11-20,1.2317569293697113,
67,Kalashnikov,2022-11-20,1.0304761904761905,
68,Barrett,2022-11-20,0.9479368146473411,
69,Spas12,2022-11-20,0.8140558647701504,
70,SteyrAUG,2022-11-20,0.7872346846970907,
71,Deagles,2022-11-20,0.4478458049886621,
72,Rheinmetall,2022-11-20,0.3934118659118659,
73,Minigun,2022-11-20,0.15906593406593408,
74,Dragunov,2022-11-20,0.08585034013605441,
75,RocketLauncher,2022-11-20,0.07594627594627594,
76,M79,2022-11-20,0.02641929499072356,
77,Kalashnikov,2022-11-21,1.2202900137159982,
78,MP5,2022-11-21,0.990374041889335,
79,Barrett,2022-11-21,0.7364081560202251,
80,Spas12,2022-11-21,0.6526096223711522,
81,SteyrAUG,2022-11-21,0.6083712153651837,
82,Deagles,2022-11-21,0.4820384679455144,
83,Rheinmetall,2022-11-21,0.4523939116764994,
84,M79,2022-11-21,0.24840834452903415,
85,Dragunov,2022-11-21,0.15186781609195402,
86,Minigun,2022-11-21,0.1296522034985524,
87,RocketLauncher,2022-11-21,0.0,
88,Kalashnikov,2022-11-22,1.312527854090354,
89,MP5,2022-11-22,0.9575592055003819,
90,M79,2022-11-22,0.9021291208791208,
91,SteyrAUG,2022-11-22,0.6635555416805418,
92,Barrett,2022-11-22,0.607432047119547,
93,Dragunov,2022-11-22,0.5063203463203463,
94,Rheinmetall,2022-11-22,0.35877976190476185,
95,Spas12,2022-11-22,0.2727077089577089,
96,Minigun,2022-11-22,0.19171568627450983,
97,Deagles,2022-11-22,0.10227272727272727,
98,RocketLauncher,2022-11-22,0.0,
99,Kalashnikov,2022-11-23,1.0596586284086282,
100,M79,2022-11-23,0.919973544973545,
101,Rheinmetall,2022-11-23,0.6233725560931442,
102,MP5,2022-11-23,0.5417808861436312,
103,SteyrAUG,2022-11-23,0.5071498717332051,
104,Barrett,2022-11-23,0.3984199280251912,
105,Deagles,2022-11-23,0.38301391590865275,
106,Spas12,2022-11-23,0.356341189674523,
107,Dragunov,2022-11-23,0.2444775132275132,
108,Minigun,2022-11-23,0.07692307692307693,
109,RocketLauncher,2022-11-23,0.0,
110,MP5,2022-11-24,1.4542565691061933,
111,SteyrAUG,2022-11-24,1.0124071904147092,
112,Kalashnikov,2022-11-24,0.9326953003423591,
113,Spas12,2022-11-24,0.868126644597233,
114,Deagles,2022-11-24,0.690151896034249,
115,Barrett,2022-11-24,0.5091997949140806,
116,Rheinmetall,2022-11-24,0.3506229220514935,
117,Dragunov,2022-11-24,0.09682539682539681,
118,Minigun,2022-11-24,0.047619047619047616,
119,M79,2022-11-24,0.0380952380952381,
120,RocketLauncher,2022-11-24,0.0,
121,Kalashnikov,2022-11-25,1.2067745223790975,
122,MP5,2022-11-25,1.0542389346310914,
123,Deagles,2022-11-25,0.9812206826095716,
124,SteyrAUG,2022-11-25,0.8272042155845868,
125,M79,2022-11-25,0.6191531307727596,
126,Spas12,2022-11-25,0.33304284676833695,
127,Rheinmetall,2022-11-25,0.26147720592165036,
128,Barrett,2022-11-25,0.21957671957671956,
129,Minigun,2022-11-25,0.20382128159905938,
130,Dragunov,2022-11-25,0.0404040404040404,
131,RocketLauncher,2022-11-25,0.0308641975308642,
132,Kalashnikov,2022-11-26,1.6321627389582796,
133,SteyrAUG,2022-11-26,0.9148497287728786,
134,Spas12,2022-11-26,0.8711852215884475,
135,MP5,2022-11-26,0.839531673260326,
136,Rheinmetall,2022-11-26,0.7298206124819027,
